"Country","GovernmentType"
"Afghanistan","Islamic republic"
"Albania","parliamentary democracy"
"Algeria","republic"
"Andorra","parliamentary democracy"
"Angola","republic; multiparty presidential regime"
"Antigua and Barbuda","constitutional monarchy with a parliamentary system of government and a Commonwealth realm"
"Argentina","republic"
"Armenia","republic"
"Aruba","parliamentary democracy"
"Australia","federal parliamentary democracy and a Commonwealth realm"
"Austria","federal republic"
"Azerbaijan","republic"
"Bahamas, The","constitutional parliamentary democracy and a Commonwealth realm"
"Bahrain","constitutional monarchy"
"Bangladesh","parliamentary democracy"
"Barbados","parliamentary democracy and a Commonwealth realm"
"Belarus","republic in name, although in fact a dictatorship"
"Belgium","federal parliamentary democracy under a constitutional monarchy"
"Belize","parliamentary democracy and a Commonwealth realm"
"Benin","republic"
"Bermuda","parliamentary; self-governing territory"
"Bhutan","constitutional monarchy"
"Bolivia","republic; note - the new constitution defines Bolivia as a \"Social Unitarian State\""
"Bosnia and Herzegovina","emerging federal democratic republic"
"Botswana","parliamentary republic"
"Brazil","federal republic"
"Brunei","constitutional sultanate (locally known as Malay Islamic Monarchy)"
"Bulgaria","parliamentary democracy"
"Burkina Faso","parliamentary republic"
"Burma","parliamentary government took power in March 2011"
"Burundi","republic"
"Cambodia","multiparty democracy under a constitutional monarchy"
"Cameroon","republic; multiparty presidential regime"
"Canada","a parliamentary democracy, a federation, and a constitutional monarchy"
"Cape Verde","republic"
"Cayman Islands","parliamentary democracy"
"Central African Republic","republic"
"Chad","republic"
"Chile","republic"
"China","Communist state"
"Colombia","republic; executive branch dominates government structure"
"Comoros","republic"
"Congo, Democratic Republic of the","republic"
"Congo, Republic of the","republic"
"Cook Islands","self-governing parliamentary democracy"
"Costa Rica","democratic republic"
"Cote d'Ivoire","republic; multiparty presidential regime established 1960"
"Croatia","parliamentary democracy"
"Cuba","Communist state"
"Curacao","parliamentary"
"Cyprus","republic "
"Czech Republic","parliamentary democracy"
"Denmark","constitutional monarchy"
"Djibouti","republic"
"Dominica","parliamentary democracy"
"Dominican Republic","democratic republic"
"Ecuador","republic"
"Egypt","republic"
"El Salvador","republic"
